block,start_date,end_date,return_pct
B3_short_term_reversal,2021-12-03,2022-12-05,1.0454366500832313
B3_short_term_reversal,2021-12-06,2022-12-06,-3.0092701132155564
B3_short_term_reversal,2021-12-07,2022-12-07,-4.982869953307823
B3_short_term_reversal,2021-12-08,2022-12-08,-6.4186005667082435
B3_short_term_reversal,2021-12-09,2022-12-09,-5.091132966730704
B3_short_term_reversal,2021-12-10,2022-12-12,-5.644806132427371
B3_short_term_reversal,2021-12-13,2022-12-13,-4.208318637810327
B3_short_term_reversal,2021-12-14,2022-12-14,-4.749531407666163
B3_short_term_reversal,2021-12-15,2022-12-15,-6.840071034640238
B3_short_term_reversal,2021-12-16,2022-12-16,-6.499461802065887
B3_short_term_reversal,2021-12-17,2022-12-19,-6.0313845777631325
B3_short_term_reversal,2021-12-20,2022-12-20,-6.282642370270719
B3_short_term_reversal,2021-12-21,2022-12-21,-9.071840366597005
B3_short_term_reversal,2021-12-22,2022-12-22,-10.228439430260517
B3_short_term_reversal,2021-12-23,2022-12-23,-11.067936001645029
B3_short_term_reversal,2021-12-27,2022-12-27,-11.191005346086158
B3_short_term_reversal,2021-12-28,2022-12-28,-11.081205746118117
B3_short_term_reversal,2021-12-29,2022-12-29,-11.437798231398698
B3_short_term_reversal,2021-12-30,2022-12-30,-11.680877339335327
B3_short_term_reversal,2022-01-03,2023-01-03,-12.86670171847042
B3_short_term_reversal,2022-01-04,2023-01-04,-13.222072787216387
B3_short_term_reversal,2022-01-05,2023-01-05,-11.280052910440485
B3_short_term_reversal,2022-01-06,2023-01-06,-11.355261817936412
B3_short_term_reversal,2022-01-07,2023-01-09,-11.48375514761395
B3_short_term_reversal,2022-01-10,2023-01-10,-13.50322330761421
B3_short_term_reversal,2022-01-11,2023-01-11,-13.89979682262581
B3_short_term_reversal,2022-01-12,2023-01-12,-14.108529553063642
B3_short_term_reversal,2022-01-13,2023-01-13,-10.895191093466138
B3_short_term_reversal,2022-01-14,2023-01-17,-11.274105019388491
